"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jan 26 22:00:52 CET 2023","Thu Jan 26 22:00:53 CET 2023","770","","tests/log_in/tests/log_in.spec.ts","","","","Sign in - wrong",""
"passed","Thu Jan 26 22:00:50 CET 2023","Thu Jan 26 22:00:54 CET 2023","3430","","tests/list/tests/list.spec.ts","","","","add a new spider and see it in the list",""
"passed","Thu Jan 26 22:00:50 CET 2023","Thu Jan 26 22:00:53 CET 2023","2902","","tests/website.test.ts","","","","Go to the terrariumspiders website",""
"passed","Thu Jan 26 22:00:53 CET 2023","Thu Jan 26 22:00:56 CET 2023","2531","","tests/website.test.ts","","","","go to #About, #Tutorial, #Download, #Logo",""
"passed","Thu Jan 26 22:00:58 CET 2023","Thu Jan 26 22:01:02 CET 2023","4352","","tests/website.test.ts","","","","Go to the google store website",""
"passed","Thu Jan 26 22:00:53 CET 2023","Thu Jan 26 22:00:54 CET 2023","798","","tests/log_in/tests/log_in.spec.ts","","","","Sign in - good",""
"passed","Thu Jan 26 22:00:50 CET 2023","Thu Jan 26 22:00:52 CET 2023","1662","","tests/log_in/tests/log_in.spec.ts","","","","Create an account",""
"passed","Thu Jan 26 22:00:56 CET 2023","Thu Jan 26 22:00:58 CET 2023","2479","","tests/website.test.ts","","","","go to #Spider",""
"passed","Thu Jan 26 22:00:54 CET 2023","Thu Jan 26 22:00:56 CET 2023","2457","","tests/list/tests/list.spec.ts","","","","edit the spider and see it in the list",""
"passed","Thu Jan 26 22:00:56 CET 2023","Thu Jan 26 22:00:57 CET 2023","732","","tests/list/tests/list.spec.ts","","","","check how many species of spiders are there",""
"passed","Thu Jan 26 22:00:57 CET 2023","Thu Jan 26 22:00:58 CET 2023","882","","tests/list/tests/list.spec.ts","","","","display json spiders",""
"passed","Thu Jan 26 22:00:52 CET 2023","Thu Jan 26 22:00:52 CET 2023","682","","tests/log_in/tests/log_in.spec.ts","","","","log in",""
